Case,gate length,Theta,Phi,Omega,dt,combination,total time,computing time
case1,26,2.4908875695252077,3.430105101969697,2.938953302792403,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",67.60000000000001,14.192911624908447
case2,26,2.0418153986511833,0.535660481087758,1.1046942933211374,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 0]",67.60000000000001,1053.9963665008545
case3,12,1.0718580686400887,0.9827243673081577,2.0618362109835027,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2]",31.200000000000003,7.657907724380493
case4,10,0.8597281621485335,1.6965255129880992,2.8689436908693446,2.6,"[2, 2, 4, 4, 1, 1, 3, 2, 4, 4]",26.0,17.725400924682617
case5,10,0.7022601462025859,4.072952353751966,1.723025981174047,2.6,"[3, 2, 2, 4, 4, 1, 3, 3, 0, 0]",26.0,27.65532660484314
case6,26,2.598878546434249,0.9201083739234232,3.047544673263073,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",67.60000000000001,16.572476148605347
case7,18,1.4719283868411417,5.104391553879203,1.4319459464513706,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1, 3]",46.800000000000004,76.07560443878174
case8,18,1.5100082193355602,0.2858352961393191,0.08805359248598928,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 3]",46.800000000000004,40.06991791725159
case9,26,2.4071715676738306,2.2223396371164092,2.119686352141788,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2]",67.60000000000001,26.321529626846313
case10,1,1.6859040589666954,1.7254455052667244,5.01686429451122,2.6,[-1],2.6,3116.716292619705
case11,1,1.8900128030134553,4.510684204607264,0.43538731768417943,2.6,[-1],2.6,3055.865894317627
case12,19,1.4764240240260575,3.835123772171319,4.9624707403257196,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 2, 3, 2, 2, 4, 4, 1]",49.4,388.5800325870514
case13,1,1.471620738390296,4.260233198702018,5.969018370345687,2.6,[-1],2.6,3049.3745930194855
case14,2,0.3854402532115007,4.858165935300067,2.3682967875372563,2.6,"[2, 2]",5.2,0.05037045478820801
case15,32,3.0689540452807753,2.3119637030499742,4.250083853775042,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2]",83.2,26.810195446014404
case16,19,1.6011665904069332,1.0133188075476949,1.8018216431623633,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 4, 4, 1, 4, 1, 1, 3, 3, 2]",49.4,312.9310119152069
case17,10,1.039623429489264,6.262434456466782,0.023548579083176112,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",26.0,3.608686923980713
case18,1,1.4809563482032257,2.051462423728668,5.971660685675209,2.6,[-1],2.6,2912.7907106876373
case19,1,1.0973164747908057,0.14622630490230062,1.1950860001544235,2.6,[-1],2.6,2710.503514289856
case20,9,0.7032155381515248,0.818116902983175,5.420968775173507,2.6,"[1, 1, 3, 3, 2, 4, 1, 1, 3]",23.400000000000002,25.53401231765747
case21,10,0.8957030188285636,2.3288806782441336,1.01339084883872,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 2]",26.0,4.788510084152222
case22,19,1.6020994250024228,2.0795516814812993,3.425457621291808,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 3, 1, 3, 3, 2, 2, 4]",49.4,306.7185456752777
case23,4,0.4153058004393035,0.31949524307751576,2.7620333864791227,2.6,"[3, 3, 2, 2]",10.4,0.725224494934082
case24,18,1.8122505273956038,5.794977539697119,5.422998145531945,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",46.800000000000004,9.405493021011353
case25,18,1.4766526407382048,1.4989423806177775,5.876691713740781,2.6,"[1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 3, 3, 2, 2, 4, 4, 1, 1]",46.800000000000004,63.79176592826843
case26,19,1.4302316658396879,2.268856732745156,4.896958121551489,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 0, 1, 3]",49.4,498.7494103908539
case27,18,1.4031499307985282,2.2427625672795486,0.8443945178497035,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 2, 0]",46.800000000000004,124.99703001976013
case28,10,0.6266441475060338,5.214830287900156,1.2024827374763631,2.6,"[3, 3, 2, 2, 4, 4, 1, 4, 2, 2]",26.0,80.53637027740479
case29,26,2.0637977109027887,2.044714966553943,1.0799581242912124,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 1, 1]",67.60000000000001,1028.7451179027557
case30,1,1.8149762364147801,4.945360416671021,2.7124342638084906,2.6,[-1],2.6,2931.345642566681
case31,1,1.9263355222505665,5.277634524105009,3.613801567927323,2.6,[-1],2.6,2930.18435382843
case32,1,1.1791297756257908,1.8446329107751236,0.8122145996060536,2.6,[-1],2.6,2790.863270998001
case33,27,2.5832427123530914,1.2754337207338466,5.0426783446285794,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",70.2,17.133292198181152
case34,12,1.008657447292899,0.11207032002620018,1.9802810488694047,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3]",31.200000000000003,27.147443056106567
case35,1,1.5032296207700526,5.778251900720362,6.008507800545664,2.6,[-1],2.6,2921.146498441696
case36,1,1.7646580467699793,5.606643057252664,1.2829147990286263,2.6,[-1],2.6,2927.147311925888
case37,26,2.093478075715291,5.236022729348122,2.201828959202728,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 1, 2, 0, 4]",67.60000000000001,481.4187638759613
case38,27,2.0873321887233964,6.104024161703541,4.899278914420116,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 0, 3, 1, 4]",70.2,2715.019914150238
case39,18,1.280369661101574,0.8066829168143942,5.966542252473823,2.6,"[1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 3, 3, 2, 4, 4, 0, 0, 1]",46.800000000000004,1958.9060957431793
case40,1,1.7073679072348356,5.9699460259177375,3.5152666534963495,2.6,[-1],2.6,2958.2177443504333
case41,26,2.1533313760620554,1.5021882021990978,1.5783711969537983,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 2, 0, 3]",67.60000000000001,181.91986894607544
case42,1,1.2024742614466915,5.165469272242485,5.675013166857028,2.6,[-1],2.6,2928.6468455791473
case43,26,2.062879643165399,5.719161782905742,1.1203415083118469,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 1, 1]",67.60000000000001,964.6356706619263
case44,26,2.0864006027593636,1.9242610833240699,5.969766932741629,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 2]",67.60000000000001,442.64746046066284
case45,27,2.453656931459502,4.089371396534814,2.7426952013443966,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4]",70.2,38.36313462257385
case46,18,1.469990904925255,0.9640821429199878,3.901641592949823,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 4, 2, 1]",46.800000000000004,69.84956097602844
case47,1,1.1782199392785089,5.678197981553411,2.7332859758543564,2.6,[-1],2.6,2710.0174016952515
case48,34,2.706808219096591,5.2757118929041,3.2738762946297277,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 1, 3, 3, 2]",88.4,1609.5315854549408
case49,18,1.2798141396934766,5.660565288692397,0.6386680200583688,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 4, 4, 0, 0]",46.800000000000004,1386.096512556076
case50,18,1.663722688572282,2.524731407047445,5.448953855463847,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",46.800000000000004,12.315340518951416
case51,1,1.1447809173986951,5.553787975972813,1.5551417595281294,2.6,[-1],2.6,2752.995475292206
case52,26,2.4872603737186414,6.2010176292335135,3.813320563226401,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",67.60000000000001,14.820464849472046
case53,18,1.3345728751071013,4.08872591537841,5.631995335207276,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 0, 0, 4, 3]",46.800000000000004,358.9422879219055
case54,1,1.808413058990634,0.30775188290429806,5.127964363162665,2.6,[-1],2.6,2726.7029025554657
case55,19,1.7070506894558202,1.426421174476139,2.076887576800065,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4]",49.4,19.354276418685913
case56,18,1.3969877129450383,5.026159549938956,2.153840566344436,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1, 3, 4]",46.800000000000004,140.49414038658142
case57,18,1.498609030615816,0.08318492672069956,5.843954748867881,2.6,"[1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 3, 3, 2, 2, 4, 4, 1, 1]",46.800000000000004,66.80099892616272
case58,34,2.7383130993216174,1.1923795383948421,3.1845545654055107,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 1, 3, 0, 3]",88.4,989.6734721660614
case59,18,1.2444514828642923,4.103291630622623,6.024303160067954,2.6,"[1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 3, 3, 2, 4, 4, 4, 2, 3]",46.800000000000004,2387.2034928798676
case60,3,0.4550645857740262,1.5951454272932268,6.23885171801328,2.6,"[1, 1, 3]",7.800000000000001,1.494584083557129
case61,18,1.2484081471963508,4.83197597420544,3.2320824265744625,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 0, 0, 4, 1]",46.800000000000004,2004.2708644866943
case62,1,1.7351967023516046,2.4475780469597823,1.9136742176303239,2.6,[-1],2.6,2640.081523656845
case63,18,1.225391295327307,0.6609732387856616,4.256695535344366,2.6,"[4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 1, 1, 3, 2, 2, 3, 2, 4]",46.800000000000004,2669.8961720466614
case64,33,2.73516592265273,3.1863436361780484,5.583692439769629,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 3, 4, 4]",85.8,582.9915051460266
case65,18,1.3987674453433305,4.03491563413645,5.542940597344219,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 2, 4, 3]",46.800000000000004,130.25034618377686
case66,1,2.544563510714514,4.545365142151118,0.9920526959384786,2.6,[-1],2.6,2456.5725762844086
case67,18,1.501006185082176,5.81471141032867,6.142031563674436,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 0, 1, 0]",46.800000000000004,59.931639671325684
case68,11,1.1302588834878238,1.0561429143288434,2.930315558584272,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2]",28.6,7.848126649856567
case69,19,1.4979961500592673,0.6704220175326923,0.23079439716427885,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 4, 2, 4, 4, 1, 1, 3]",49.4,378.5444860458374
case70,19,1.3528713042002332,1.8201146008828413,0.5512161137268059,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1, 3, 3, 4, 4, 4, 1, 3, 2]",49.4,1938.3397722244263
case71,26,2.0996543463248325,5.088629246156984,1.5864390039373417,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 0, 0, 4]",67.60000000000001,464.90596628189087
case72,27,2.3548812055512847,5.557343702908506,0.3360590866300434,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 0, 2]",70.2,79.75622010231018
case73,18,1.488648683278944,4.689987770626747,6.229104785970758,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 2, 3]",46.800000000000004,52.77311682701111
case74,19,1.4251282104241887,3.581871667442733,1.333780637979716,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 3, 3, 2, 1]",49.4,462.5653614997864
case75,27,2.120869995566774,4.842311809241533,3.572830838120031,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 1, 1]",70.2,2036.1886568069458
case76,1,1.2427569110531111,1.0401955715741833,2.097557310024842,2.6,[-1],2.6,2660.3866314888
case77,26,2.0379321991361485,3.152779745170457,5.514306126764527,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 3, 4, 0]",67.60000000000001,893.7132766246796
case78,1,1.7199890156246622,3.4072828236681736,4.287293118989365,2.6,[-1],2.6,2720.5498764514923
case79,26,2.5858435008827647,0.8072070102278261,1.3954904205121037,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2]",67.60000000000001,13.863877534866333
case80,27,2.204415784035951,4.744940304153472,1.7783958855998707,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 4, 1, 1, 2]",70.2,497.99526357650757
case81,1,1.2166497534214393,1.8319861626926819,5.464531341878796,2.6,[-1],2.6,2818.3314266204834
case82,18,1.7637429143249677,0.06803425285664676,0.8448421844139494,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",46.800000000000004,7.505070686340332
case83,10,0.9630290256227151,2.7148345619390266,5.75486266763909,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 3]",26.0,4.901081085205078
case84,33,2.971972933355311,5.571970375235586,4.198956428641035,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 2]",85.8,91.38759970664978
case85,19,1.395534895418545,3.634127309987396,0.3444596162488672,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 4, 2, 4, 4, 1, 1, 1]",49.4,1445.394766330719
case86,27,2.4645552178682686,0.47295755893869235,3.4751373146812212,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1]",70.2,39.41987371444702
case87,1,1.3235916696448773,2.8362145045395333,0.46889189051464797,2.6,[-1],2.6,2737.705506801605
case88,18,1.4792047313378327,5.047139516317708,5.758450806580824,2.6,"[1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 3, 3, 2, 2, 4, 4, 1, 1]",46.800000000000004,64.53579711914062
case89,11,1.08641381745957,4.040488188780228,3.681058003303971,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",28.6,3.5601348876953125
case90,10,1.0485006148519327,1.6597247052020432,2.4347724928561467,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",26.0,3.4498937129974365
case91,1,1.185559720979827,5.009289663886541,0.5038235380678979,2.6,[-1],2.6,2875.9743881225586
case92,18,1.375855535053525,1.639741960246072,2.569871345776805,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 3, 1, 3, 3, 2, 2]",46.800000000000004,272.8539402484894
case93,1,2.0726164528697946,2.260272535538151,3.281501801395658,2.6,[-1],2.6,2788.571977853775
